District,Month_Number,Month_Name,Crop_Name,Reason_1,Reason_2,Reason_3,Reason_4,Reason_5
Anuradhapura,1,January,Sweet Potato,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis
Anuradhapura,1,January,Tomato,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Anuradhapura,1,January,Okra,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month,Favorable soil aeration conditions support deep root development,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,1,January,Pumpkin,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,1,January,Groundnut,Timing aligns with traditional Maha/Yala seasonal planting schedules,Optimal soil temperature range for rapid seed germination,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable day-night temperature variation enhances crop yield,Favorable soil aeration conditions support deep root development
Anuradhapura,1,January,Red Onion,Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year,Optimal soil temperature range for rapid seed germination
Anuradhapura,1,January,Maize,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination
Anuradhapura,1,January,Chili,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month
Anuradhapura,2,February,Green Gram,Optimal soil temperature range for rapid seed germination,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable day-night temperature variation enhances crop yield
Anuradhapura,2,February,Sesame,Timing aligns with traditional Maha/Yala seasonal planting schedules,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month,Optimal soil temperature range for rapid seed germination,Historical data shows reduced pest prevalence during this time of year
Anuradhapura,2,February,Red Onion,Timing aligns with traditional Maha/Yala seasonal planting schedules,"Harvesting aligns with local market demand peaks, ensuring better profit",Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month
Anuradhapura,2,February,Pumpkin,Soil moisture retention levels are ideal during this specific month,Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable soil aeration conditions support deep root development
Anuradhapura,2,February,Chili,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,2,February,Sweet Potato,Timing aligns with traditional Maha/Yala seasonal planting schedules,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year
Anuradhapura,2,February,Maize,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month
