Crop_Name,Stage,Instructions,Estimated_Days,Alert
Green Gram,Land Preparation,"Clear land, perform light ploughing to achieve a fine tilth. Incorporate well-decomposed organic matter (5-10 t/ha).",3,Ensure good drainage to prevent waterlogging.
Green Gram,Seed Selection,"Select certified, disease-free, high-yielding varieties such as MI-5. Ensure good germination rate (above 80%).",1,Treat seeds with a fungicide/insecticide if pest/disease pressure is high in the area.
Green Gram,Fertilizer Schedule,"Basal application: NPK (e.g., 20:40:20 kg/ha) mixed with soil before sowing. No top dressing usually required for healthy growth as it's a legume.",1,Excess nitrogen can promote leafy growth over pod formation.
Green Gram,Irrigation,"Irrigate immediately after sowing. Critical stages for irrigation are flowering and pod development. Water sparingly every 7-10 days if no rain, avoiding waterlogging.",7,Over-irrigation can lead to root diseases. Under-irrigation during critical stages reduces yield.
Green Gram,Pest/Disease Control,"Monitor for aphids and pod borers. Use neem oil spray for minor infestations. For diseases like powdery mildew, apply suitable fungicides as needed. Practice crop rotation.",7,Regular scouting is key for early detection.
Green Gram,Harvest,Harvest when 70-80% of pods have matured and turned yellowish-brown. This occurs 60-75 days after sowing. Usually requires 2-3 pickings.,60,Delaying harvest can lead to pod shattering and yield loss.
Chili,Land Preparation,Deep plough the field to a fine tilth. Form raised beds (15-20 cm high) for good drainage. Incorporate compost or well-rotted farmyard manure (20 t/ha).,5,Good drainage is essential to prevent root rot in chili.
Chili,Seed Selection,"Select certified, high-yielding, and disease-resistant hybrid varieties (e.g., MI Green, MIPC-1). Raise seedlings in a nursery for 4-6 weeks.",1,Ensure seedlings are healthy and free from pests/diseases before transplanting.
Chili,Fertilizer Schedule,"Basal application: NPK (e.g., 30:60:30 kg/ha). Top dressing: Apply NPK (e.g., 30:0:30 kg/ha equivalent) at 3-4 week intervals after transplanting.",21,Conduct a soil test to determine precise fertilizer requirements.
Chili,Irrigation,"Maintain consistent moisture, especially during flowering and fruit development. Water every 2-3 days using drip irrigation. Reduce watering during heavy rains.",2,Irregular watering can lead to flower drop and blossom end rot.
Chili,Pest/Disease Control,"Monitor for thrips, mites, and aphids. Use yellow sticky traps. For fruit borers, apply appropriate insecticides. Manage diseases like anthracnose and dieback with fungicides. Practice sanitation.",7,Early detection and integrated pest management (IPM) are crucial.
Chili,Harvest,"Begin harvesting green chilies 75-90 days after transplanting. For ripe red chilies, allow fruits to fully mature on the plant. Harvesting is continuous for 3-6 months.",75,Harvest regularly to encourage new fruit set.
Okra,Land Preparation,Plough 2-3 times to achieve a fine tilth. Incorporate 10-15 t/ha of well-rotted farmyard manure. Form ridges or beds for good drainage.,4,Ensure the soil is well-aerated for optimal root development.
Okra,Seed Selection,"Select certified, high-yielding, and YVMV (Yellow Vein Mosaic Virus) resistant varieties such as MI-5 or Haritha. Soak seeds in water overnight before sowing for better germination.",1,YVMV is a major threat; prioritize resistant varieties.
Okra,Fertilizer Schedule,"Basal application: NPK (e.g., 25:50:25 kg/ha). Top dressing: Apply nitrogen (e.g., 25 kg/ha) 30-45 days after sowing.",30,Avoid excessive nitrogen which can lead to excessive vegetative growth.
Okra,Irrigation,"Provide regular and consistent irrigation, especially during flowering and fruiting. Water every 2-3 days in dry weather. Avoid drought stress.",2,"Inconsistent watering can lead to tough, fibrous pods."
Okra,Pest/Disease Control,"Monitor for aphids, fruit borers, and leafhoppers. Use insecticidal soaps or neem-based products. For YVMV, remove and destroy infected plants promptly. Control whiteflies (vector for YVMV).",5,YVMV spreads rapidly; immediate removal of infected plants is critical.
Okra,Harvest,"Begin harvesting tender, immature pods 45-60 days after sowing. Harvest every 2-3 days to encourage continuous fruiting. Pods should be snapped off by hand.",45,"Do not allow pods to mature on the plant, as they become fibrous and reduce subsequent yields."
Onion,Land Preparation,"Deep plough the field, then pulverize the soil to a very fine tilth. Form raised beds (10-15 cm high) for excellent drainage. Incorporate well-rotted compost (15-20 t/ha).",5,Fine tilth is crucial for good bulb development.
Onion,Seed Selection,"Use certified, disease-free seeds or small bulbs (sets). For seeds, raise seedlings in a nursery for 6-8 weeks. Varieties include Jaffna Red (for small onion) or local Big Onion types.",1,Ensure chosen variety is adapted to local conditions and market preference.
Onion,Fertilizer Schedule,"Basal application: NPK (e.g., 50:50:50 kg/ha). Top dressing: Apply nitrogen (e.g., 25 kg/ha) at 30 and 45 days after transplanting (DAT).",15,Late nitrogen application can delay maturity and reduce storage quality.
Onion,Irrigation,Keep soil consistently moist during the early growth and bulb formation stages. Water every 3-5 days depending on soil type and weather. Stop irrigation 2-3 weeks before harvest.,3,Over-irrigation can lead to fungal diseases and poor bulb quality. Stopping irrigation too late can affect curing.
Onion,Pest/Disease Control,Monitor for thrips and onion maggots. Use appropriate insecticides if infestation is severe. Prevent fungal diseases like purple blotch and downy mildew with fungicides and good air circulation. Practice crop rotation.,7,Thrips are a major pest; regular monitoring and control are essential.
Onion,Harvest,"Harvest when leaves start to yellow and fall over, typically 90-120 days after transplanting. Loosen bulbs by hand or shallow digging. Cure bulbs in a shaded, well-ventilated area for 7-10 days.",90,Proper curing is vital for good storage life.
Tomato,Land Preparation,"Deep plough the field and create a fine, loose soil structure. Incorporate generous amounts of organic matter (20 t/ha). Form raised beds (15-20 cm high) to improve drainage.",5,Ensure soil pH is between 6.0-7.0 for optimal growth.
Tomato,Seed Selection,"Choose certified, high-yielding, and disease-resistant hybrid varieties (e.g., T-245, Thilina). Sow seeds in a nursery and transplant 3-4 week old healthy seedlings.",1,Select varieties resistant to common local diseases like bacterial wilt and TYLCV.
Tomato,Fertilizer Schedule,"Basal application: NPK (e.g., 30:60:30 kg/ha). Top dressing: Apply NPK (e.g., 30:0:30 kg/ha equivalent) at 3-4 week intervals after transplanting, adjusting based on plant vigor.",21,"Avoid excessive nitrogen early on, which can promote leafy growth at the expense of fruit production."
Tomato,Irrigation,"Provide consistent and adequate moisture, especially during flowering and fruit development. Drip irrigation is highly recommended. Water every 2-3 days in dry periods. Avoid overhead irrigation.",2,Inconsistent watering causes blossom end rot and fruit cracking.
Tomato,Pest/Disease Control,"Monitor for fruit borers, whiteflies, and aphids. Use pheromone traps or appropriate insecticides. Manage diseases like early/late blight with fungicides. Practice crop rotation and remove infected plants. Stake plants for good air circulation.",7,Good sanitation and proper staking reduce disease incidence significantly.
Tomato,Harvest,"Begin harvesting 60-90 days after transplanting, depending on variety and desired ripeness. Harvest fruits when they reach optimal size and color. Continue harvesting for several weeks.",60,Harvest early in the morning for best quality and longer shelf life.
Eggplant,Land Preparation,"Clear weeds, plough the land to a fine tilth (20-30cm deep), incorporate well-rotted organic manure (e.g., compost/cow dung at 10-15 tons/ha). Form raised beds (30cm high, 90-120cm wide) for better drainage and root aeration.",7,Ensure good drainage to prevent waterlogging.
Eggplant,Seed Selection,"Select high-quality, disease-resistant hybrid varieties (e.g., Lanka Brinjal, Paboda). Sow seeds in nursery trays or raised nursery beds. Ensure proper spacing (5-10cm between seeds) and light covering with soil.",1,Use certified seeds to minimize disease risk.
Eggplant,Fertilizer Schedule,"Basal application: Apply a mixture of NPK (e.g., 20g Urea, 60g Triple Super Phosphate, 20g Muriate of Potash per plant pit before transplanting). Top dressing: Apply NPK in split doses (e.g., 20g Urea + 10g MOP per plant every 3-4 weeks) starting 2 weeks after transplanting.",60,Adjust rates based on soil test results and plant vigor.
Eggplant,Irrigation,"Irrigate immediately after transplanting. Maintain consistent soil moisture, especially during flowering and fruiting. Water deeply 2-3 times a week, depending on rainfall and soil type. Drip irrigation is highly recommended.",120,Avoid overhead irrigation during flowering to prevent flower drop.
Eggplant,Pest/Disease Control,"Monitor for Fruit and Shoot Borer (Leucinodes orbonalis), Aphids, Jassids, and Mites. For diseases, watch for Bacterial Wilt and Phomopsis Blight. Implement Integrated Pest Management (IPM) practices including cultural methods (crop rotation, sanitation), biological control, and judicious use of approved pesticides.",150,Regular scouting is critical for early detection and control.
Eggplant,Harvest,"Harvest fruits when they are tender, glossy, firm, and have reached marketable size but before seeds harden. Use a sharp knife or secateurs to cut the fruit with a short stalk. Harvest typically begins 60-80 days after transplanting.",90,Harvest regularly (every 2-3 days) to encourage continuous fruiting.
Bush Beans,Land Preparation,Plough the soil to a good tilth. Incorporate 5-10 tons/ha of well-rotted organic manure. Ensure good drainage. Bush beans prefer slightly acidic to neutral soil (pH 6.0-7.0).,5,"Avoid very heavy, poorly drained soils."
Bush Beans,Seed Selection,"Select high-quality, disease-free seeds of bush type varieties (e.g., Harsha, Lanka, BODI). Bush beans are typically direct-sown. Sow seeds 2-3 cm deep, 10-15 cm apart, in rows 45-60 cm apart.",1,Ensure good seed-to-soil contact for optimal germination.
Bush Beans,Fertilizer Schedule,"Basal application: Apply a balanced NPK fertilizer (e.g., 20g Urea, 40g Triple Super Phosphate, 20g Muriate of Potash per square meter). Bush beans fix nitrogen, so reduce nitrogen later. Top dressing: Apply NPK (e.g., 10g Urea + 10g MOP per square meter) 3-4 weeks after sowing.",30,Excess nitrogen can promote leafy growth and reduce pod yield.
Bush Beans,Irrigation,"Irrigate immediately after sowing. Maintain consistent moisture, especially during flowering and pod development. Water deeply 2-3 times a week, depending on rainfall and soil type. Avoid overhead irrigation during flowering.",60,Water stress during flowering can lead to flower abortion.
Bush Beans,Pest/Disease Control,"Monitor for Aphids, Leaf Miners, and Pod Borers. For diseases, watch for Rust, Powdery Mildew, and Anthracnose. Implement IPM, including crop rotation, proper sanitation, and timely application of approved biological or chemical controls.",70,Good air circulation can help prevent fungal diseases.
Bush Beans,Harvest,"Harvest pods when they are young, tender, and snap easily. Harvest before seeds fully develop. Pick regularly (every 2-3 days) to encourage continuous production. Harvesting typically begins 45-60 days after sowing.",40,Over-mature pods become tough and fibrous.
Capsicum,Land Preparation,"Plough the land thoroughly to a fine tilth. Incorporate 10-15 tons/ha of well-decomposed organic manure. Form raised beds (30cm high, 90-120cm wide) to ensure excellent drainage and aeration, which is critical for capsicum.",7,Capsicum is sensitive to waterlogging; raised beds are crucial.
Capsicum,Seed Selection,"Select high-quality, disease-resistant hybrid varieties suitable for the region. Sow seeds in nursery trays or raised nursery beds. Transplant seedlings when they are 15-20 cm tall (approx. 6-8 weeks old) and have 4-5 true leaves.",1,"Capsicum seeds can be slow to germinate; maintain warm, moist conditions."
Capsicum,Fertilizer Schedule,"Basal application: Apply a balanced NPK fertilizer (e.g., 25g Urea, 60g Triple Super Phosphate, 25g Muriate of Potash per plant pit). Top dressing: Apply NPK (e.g., 20g Urea + 10g MOP per plant) every 3-4 weeks, starting 2-3 weeks after transplanting. Consider foliar application of micronutrients.",120,Consistent nutrient supply is essential for continuous fruit production.
Capsicum,Irrigation,"Maintain consistent soil moisture, especially from flowering to fruiting. Water deeply 2-3 times a week, depending on weather and soil type. Avoid both water stress and overwatering. Drip irrigation is highly recommended.",180,Inconsistent watering can lead to flower drop and fruit deformities.
Capsicum,Pest/Disease Control,"Monitor for Thrips, Mites, Aphids, and Fruit Borers. For diseases, watch for Bacterial Spot, Phytophthora Blight, and Mosaic Viruses. Implement IPM, including use of resistant varieties, crop rotation, and timely application of approved pesticides.",200,Regular scouting for pests and diseases is crucial for successful cultivation.
Capsicum,Harvest,"Harvest fruits when they reach desired size and color (typically green for most bell pepper varieties, but can be allowed to ripen to yellow or red). Cut the fruit from the plant with a short stalk attached. Harvesting begins 70-90 days after transplanting.",120,Harvest regularly (every 5-7 days) to promote continued fruiting.
